고후 5:17	중심되신 그리스도	그런즉 누구든지 그리스도안에 있으면 새로운 피조물이라. 이전 것은 지나갔으니 보라, 새것이 되었도다.	A. 새로운 삶 - 01	Christ the Center	Therefore, if anyone is in Christ, he is a new creation; the old has gone, the new has come!
갈 2:20	중심되신 그리스도	내가 그리스도와 함께 십자가에 못박혔나니, 그런즉 이제는 내가 산 것이 아니요 오직 내안에 그리스도께서 사신 것이라 이제 내가 육체 가운데 사는 것은 나를 사랑하사 나를 위하여 자기 몸을 버리신 하나님의 아들을 믿는 믿음 안에서 사는 것이라.	A. 새로운 삶 - 02		I have been crucified with Christ and I no longer live, but Christ lives in me. The life I live in the body, I live by faith in the Son of God, who loved me and gave himself for me.
롬12: 1	그리스도께 순종	그러므로 형제들아, 내가 하나님의 모든 자비하심으로 너희를 권하노니 너희 몸을 하나님이 기뻐하시는 거룩한 산 제사로 드리라. 이는 너희의 드릴 영적 예배니라.	A. 새로운 삶 - 03	Therefore, I urge you, brothers, in view of God's mercy, to offer your bodies as living sacrifices, holy and pleasing to God--this is your spiritual act of worship. 	
요14:21	그리스도께 순종	나의 계명을 가지고 지키는 자라야 나를 사랑하는 자니 나를 사랑하는 자는 내 아버지께 사랑을 받을 것이요 나도 그를 사랑하여 그에게 나를 나타내리라.	A. 새로운 삶 - 04	Whoever has my commands and obeys them, he is the one who loves me. He who loves me will be loved by my Father, and I too will love him and show myself to him. " 	
딤후 3:16	말씀	모든 성경은 하나님의 감동으로 된 것으로, 교훈과 책망과 바르게 함과 의로 교육하기에 유익하니.	A. 새로운 삶 - 05	All Scripture is God-breathed and is useful for teaching, rebuking, correcting and training in righteousness,	
수 1: 8	말씀	이 율법책을 네 입에서 떠나지 말게 하며 주야로 그것을 묵상하여 그 가운데 기록한 대로 다 지켜행하라 그리하면 네 길이 평탄하게 될 것이라 네가 형통하리라.	A. 새로운 삶 - 06	Do not let this Book of the Law depart from your mouth; meditate on it day and night, so that you may be careful to do everything written in it. Then you will be prosperous and successful. 	
요15: 7	기도	너희가 내안에 거하고 내말이 너희 안에 거하면 무엇이든지 원하는 대로 구하라 그리하면 이루리라.	A. 새로운 삶 - 07		If you remain in me and my words remain in you, ask whatever you wish, and it will be given you. 
빌 4: 6,7	기도	아무 것도 염려하지 말고 오직 모든 일에 기도와 간구로 너희 구할 것을 감사함으로 하나님께 아뢰라 그리하면 모든 지각에 뛰어난 하나님의 평강이 그리스도 예수 안에서 너희 마음과 생각을 지키시리라.	A. 새로운 삶 - 08	Do not be anxious about anything, but in everything, by prayer and petition, with thanksgiving, present your requests to God. 	And the peace of God, which transcends all understanding, will guard your hearts and your minds in Christ Jesus. 
마18:20	교제	두 세 사람이 내 이름으로 모인 곳에는 나도 그들 중에 있느니라.	A. 새로운 삶 - 09	For where two or three come together in my name, there am I with them. 	
히10:24,25	교제	서로 돌아보아 사랑과 선행을 격려하며 모이기를 폐하는 어떤 사람들의 습관과 같이 하지 말고 오직 권하여 그날이 가까움을 볼수록 더욱 그리하자.	A. 새로운 삶 - 10	And let us consider how we may spur one another on toward love and good deeds. 	Let us not give up meeting together, as some are in the habit of doing, but let us encourage one another--and all the more as you see the Day approaching. 
마 4:19	증거	말씀하시되 나를 따라 오너라 내가 너희로 사람을 낚는 어부가 되게 하리라 하시니.	A. 새로운 삶 - 11		" Come, follow me, " Jesus said, " and I will make you fishers of men. " 
